date,hour,open,high,low,close,real_volume,tick_volume
2017.01.05,10:00:00,62745,62750,62465,62550,41340,14617
2017.01.05,10:30:00,62555,62740,62520,62575,44409,15173
2017.01.05,11:00:00,62570,62695,62470,62605,42979,14259
2017.01.05,11:30:00,62600,62630,62420,62470,36401,11626
2017.01.05,12:00:00,62470,62600,62420,62495,26381,8802
2017.01.05,12:30:00,62490,62935,62455,62850,73076,23335
2017.01.05,13:00:00,62845,63090,62810,62990,45298,15181
2017.01.05,13:30:00,62990,63120,62875,63080,47544,15258
2017.01.05,14:00:00,63075,63095,62800,62900,54149,17834
2017.01.05,14:30:00,62900,62965,62775,62830,35489,10899
2017.01.05,15:00:00,62825,63055,62820,63040,34539,11248
2017.01.05,15:30:00,63045,63135,62980,63030,33306,10661
2017.01.05,16:00:00,63035,63280,62990,63250,40208,12991
2017.01.05,16:30:00,63245,63260,63110,63170,24954,8386
2017.01.05,17:00:00,63175,63250,63140,63165,21498,6977
2017.01.05,17:30:00,63175,63180,62840,62865,39070,10187
2017.01.05,18:00:00,62870,62895,62655,62655,10668,2158
2017.01.06,09:00:00,62680,62695,62460,62560,49711,14360
2017.01.06,09:30:00,62565,62675,62560,62620,26373,7648
2017.01.06,10:00:00,62620,62765,62555,62575,42126,12883
2017.01.06,10:30:00,62575,62690,62375,62375,46024,15171
2017.01.06,11:00:00,62385,62595,62330,62565,34227,11310
2017.01.06,11:30:00,62565,62710,62395,62425,53848,17180
2017.01.06,12:00:00,62430,62585,62370,62460,34497,11057
2017.01.06,12:30:00,62455,62580,62250,62475,66408,21795
2017.01.06,13:00:00,62470,62650,62380,62425,41308,12578
2017.01.06,13:30:00,62430,62470,62315,62420,33414,10898
2017.01.06,14:00:00,62420,62465,62300,62440,32447,10309
2017.01.06,14:30:00,62440,62535,62325,62425,34302,10014
2017.01.06,15:00:00,62430,62440,62190,62295,42939,12831
2017.01.06,15:30:00,62295,62355,62170,62310,33091,10507
2017.01.06,16:00:00,62305,62380,62220,62220,21917,7018
2017.01.06,16:30:00,62220,62435,62200,62375,23117,7389
2017.01.06,17:00:00,62375,62420,62300,62305,15923,4921
2017.01.06,17:30:00,62310,62415,62240,62410,20244,6404
2017.01.06,18:00:00,62405,62550,62365,62550,8589,1734
2017.01.09,09:00:00,62400,62400,62120,62195,38904,11962
2017.01.09,09:30:00,62200,62290,62120,62255,34155,10545
2017.01.09,10:00:00,62250,62400,62050,62080,54255,17656
2017.01.09,10:30:00,62080,62220,62050,62170,32009,10751
2017.01.09,11:00:00,62165,62645,62125,62555,62720,19676
2017.01.09,11:30:00,62550,62755,62505,62670,46945,15163
2017.01.09,12:00:00,62675,62875,62675,62825,42230,13014
2017.01.09,12:30:00,62825,62870,62610,62800,57660,18971
2017.01.09,13:00:00,62795,62825,62630,62665,33496,11238
2017.01.09,13:30:00,62665,62800,62610,62775,32721,10356
2017.01.09,14:00:00,62775,62930,62700,62895,49853,15450
2017.01.09,14:30:00,62890,62945,62755,62810,27565,9182
2017.01.09,15:00:00,62805,62835,62670,62705,25282,8020
2017.01.09,15:30:00,62705,62750,62635,62665,19013,6183
2017.01.09,16:00:00,62665,62850,62635,62785,29182,9078
2017.01.09,16:30:00,62790,62845,62745,62770,19865,6265
2017.01.09,17:00:00,62770,62820,62530,62555,33197,9650
2017.01.09,17:30:00,62560,62630,62430,62475,33153,9063
2017.01.09,18:00:00,62465,62520,62400,62490,6898,1378
2017.01.10,09:00:00,62650,63080,62605,63055,42172,13599
2017.01.10,09:30:00,63055,63145,62985,63120,31317,9889
2017.01.10,10:00:00,63125,63215,63055,63100,54295,15517
2017.01.10,10:30:00,63100,63180,63065,63150,26671,8511
2017.01.10,11:00:00,63145,63155,63010,63075,34309,10633
2017.01.10,11:30:00,63075,63180,63045,63090,24168,7873
2017.01.10,12:00:00,63095,63120,62945,62960,26766,8477
2017.01.10,12:30:00,62965,63100,62925,63070,46456,15189
2017.01.10,13:00:00,63075,63140,62930,63030,34938,11293
2017.01.10,13:30:00,63025,63075,62940,62995,23047,7375
2017.01.10,14:00:00,62995,63050,62880,62910,29311,9320
2017.01.10,14:30:00,62905,62920,62825,62870,29854,9185
2017.01.10,15:00:00,62875,62950,62840,62930,17755,5731
2017.01.10,15:30:00,62930,62980,62765,62775,35832,10670
2017.01.10,16:00:00,62775,62855,62735,62795,30641,8851
2017.01.10,16:30:00,62795,62885,62670,62735,33908,10236
2017.01.10,17:00:00,62725,62795,62685,62745,21186,6254
2017.01.10,17:30:00,62750,62895,62715,62875,26782,7812
2017.01.10,18:00:00,62865,63110,62820,63110,9248,2053
2017.01.11,09:00:00,63300,63490,63250,63300,38090,12206
2017.01.11,09:30:00,63300,63380,63230,63295,29315,9189
2017.01.11,10:00:00,63290,63445,63270,63345,35960,11565
2017.01.11,10:30:00,63350,63350,63010,63015,48798,15557
2017.01.11,11:00:00,63010,63105,62920,63010,38036,11934
2017.01.11,11:30:00,63005,63035,62785,62795,39120,12385
2017.01.11,12:00:00,62795,62795,62460,62490,55270,16518
2017.01.11,12:30:00,62495,62675,62325,62565,71585,21972
2017.01.11,13:00:00,62570,62580,62330,62510,49860,15004
2017.01.11,13:30:00,62510,62625,62410,62575,44196,13491
2017.01.11,14:00:00,62575,62840,62570,62765,59487,18431
2017.01.11,14:30:00,62765,62925,62535,62805,76397,23859
2017.01.11,15:00:00,62805,62985,62705,62945,55190,17869
2017.01.11,15:30:00,62945,63085,62840,63075,37194,11750
2017.01.11,16:00:00,63075,63175,63000,63050,50604,15515
